HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
1,Norway,0.949,81.7,17.7,12.7,67614.00,5,1
2,Australia,0.939,82.5,20.4,13.2,42822.00,19,3
2,Switzerland,0.939,83.1,16,13.4,56364.00,7,2
4,Germany,0.926,81.1,17.1,13.2,45000.00,13,4
5,Denmark,0.925,80.4,19.2,12.7,44519.00,13,6
5,Singapore,0.925,83.2,15.4,11.6,78162.00,-3,4
7,Netherlands,0.924,81.7,18.1,11.9,46326.00,8,6
8,Ireland,0.923,81.1,18.6,12.3,43798.00,11,8
9,Iceland,0.921,82.7,19,12.2,37065.00,20,9
10,Canada,0.92,82.2,16.3,13.1,42582.00,12,9
10,United States,0.92,79.2,16.5,13.2,53245.00,1,11
12,"Hong Kong, China (SAR)",0.917,84.2,15.7,11.6,54265.00,-2,12
13,New Zealand,0.915,82,19.2,12.5,32870.00,20,13
14,Sweden,0.913,82.3,16.1,12.3,46251.00,2,15
15,Liechtenstein,0.912,80.2,14.6,12.4,75065.00,-11,14
16,United Kingdom,0.909,80.8,16.3,13.3,37931.00,10,16
17,Japan,0.903,83.7,15.3,12.5,37268.00,10,17
18,Korea (Republic of),0.901,82.1,16.6,12.2,34541.00,12,18
19,Israel,0.899,82.6,16,12.8,31215.00,16,19
20,Luxembourg,0.898,81.9,13.9,12,62471.00,-12,20
21,France,0.897,82.4,16.3,11.6,38085.00,4,22
22,Belgium,0.896,81,16.6,11.4,41243.00,1,21
23,Finland,0.895,81,17,11.2,38868.00,1,23
24,Austria,0.893,81.6,15.9,11.3,43609.00,-4,24
25,Slovenia,0.89,80.6,17.3,12.1,28664.00,13,25
26,Italy,0.887,83.3,16.3,10.9,33573.00,6,27
27,Spain,0.884,82.8,17.7,9.8,32779.00,7,26
28,Czech Republic,0.878,78.8,16.8,12.3,28144.00,11,28
29,Greece,0.866,81.1,17.2,10.5,24808.00,16,29
30,Brunei Darussalam,0.865,79,14.9,9,72843.00,-25,30
30,Estonia,0.865,77,16.5,12.5,26362.00,12,31
32,Andorra,0.858,81.5,13.5,10.3,47979.00,-18,32
33,Cyprus,0.856,80.3,14.3,11.7,29459.00,4,34
33,Malta,0.856,80.7,14.6,11.3,29500.00,3,35
33,Qatar,0.856,78.3,13.4,9.8,129916.00,-32,33
36,Poland,0.855,77.6,16.4,11.9,24117.00,11,36
37,Lithuania,0.848,73.5,16.5,12.7,26006.00,7,37
38,Chile,0.847,82,16.3,9.9,21665.00,16,38
38,Saudi Arabia,0.847,74.4,16.1,9.6,51320.00,-26,38
40,Slovakia,0.845,76.4,15,12.2,26764.00,1,40
41,Portugal,0.843,81.2,16.6,8.9,26104.00,2,41
42,United Arab Emirates,0.84,77.1,13.3,9.5,66203.00,-35,42
43,Hungary,0.836,75.3,15.6,12,23394.00,6,43
44,Latvia,0.83,74.3,16,11.7,22589.00,7,44
45,Argentina,0.827,76.5,17.3,9.9,20945.00,12,45
45,Croatia,0.827,77.5,15.3,11.2,20291.00,14,46
47,Bahrain,0.824,76.7,14.5,9.4,37236.00,-19,46
48,Montenegro,0.807,76.4,15.1,11.3,15410.00,24,49
49,Russian Federation,0.804,70.3,15,12,23286.00,1,48
50,Romania,0.802,74.8,14.7,10.8,19428.00,11,51
51,Kuwait,0.8,74.5,13.3,7.3,76075.00,-48,50
52,Belarus,0.796,71.5,15.7,12,15629.00,19,51
52,Oman,0.796,77,13.7,8.1,34402.00,-21,53
54,Barbados,0.795,75.8,15.3,10.5,14952.00,20,54
54,Uruguay,0.795,77.4,15.5,8.6,19148.00,8,54
56,Bulgaria,0.794,74.3,15,10.8,16261.00,13,57
56,Kazakhstan,0.794,69.6,15,11.7,22093.00,-3,56
58,Bahamas,0.792,75.6,12.7,10.9,21565.00,-3,58
59,Malaysia,0.789,74.9,13.1,10.1,24620.00,-13,59
60,Palau,0.788,72.9,14.3,12.3,13771.00,21,62
60,Panama,0.788,77.8,13,9.9,19470.00,0,60
62,Antigua and Barbuda,0.786,76.2,13.9,9.2,20907.00,-4,61
63,Seychelles,0.782,73.3,14.1,9.4,23886.00,-15,63
64,Mauritius,0.781,74.6,15.2,9.1,17948.00,1,64
65,Trinidad and Tobago,0.78,70.5,12.7,10.9,28049.00,-25,64
66,Costa Rica,0.776,79.6,14.2,8.7,14006.00,14,66
66,Serbia,0.776,75,14.4,10.8,12202.00,22,66
68,Cuba,0.775,79.6,13.9,11.8,7455.00,48,69
69,Iran (Islamic Republic of),0.774,75.6,14.8,8.8,16395.00,-2,68
70,Georgia,0.769,75,13.9,12.2,8856.00,38,71
71,Turkey,0.767,75.5,14.6,7.9,18705.00,-7,72
71,Venezuela (Bolivarian Republic of),0.767,74.4,14.3,9.4,15129.00,2,70
73,Sri Lanka,0.766,75,14,10.9,10789.00,21,72
74,Saint Kitts and Nevis,0.765,74,13.7,8.4,22436.00,-22,75
75,Albania,0.764,78,14.2,9.6,10252.00,24,75
76,Lebanon,0.763,79.5,13.3,8.6,13312.00,8,74
77,Mexico,0.762,77,13.3,8.6,16383.00,-9,77
78,Azerbaijan,0.759,70.9,12.7,11.2,16413.00,-12,77
79,Brazil,0.754,74.7,15.2,7.8,14145.00,-1,79
79,Grenada,0.754,73.6,15.8,8.6,11502.00,13,80
81,Bosnia and Herzegovina,0.75,76.6,14.2,9,10091.00,22,82
82,The former Yugoslav Republic of Macedonia,0.748,75.5,12.9,9.4,12405.00,5,83
83,Algeria,0.745,75,14.4,7.8,13533.00,-1,84
84,Armenia,0.743,74.9,12.7,11.3,8189.00,28,85
84,Ukraine,0.743,71.1,15.3,11.3,7361.00,34,81
86,Jordan,0.741,74.2,13.1,10.1,10111.00,15,85
